sale normalSale store ad discount discountSEK week
30 16.25 85 1 37.05 10.3 9
34 11 86 0 46.04 12.8 7
12 8 86 0 46.04 12.8 8
37 11 86 1 37.05 10.3 9
17 5.2 87 0 46.04 12.8 7
11 6 87 0 46.04 12.8 8
17 2.6 89 0 46.04 12.8 7
11 2 89 0 46.04 12.8 8
12 6.4 90 0 46.04 12.8 7
9 7.67 90 0 46.04 12.8 8
15 8 91 0 46.04 12.8 7
3 9 91 0 46.04 12.8 8
21 6.4 93 0 46.04 12.8 7
16 8.75 94 0 46.04 12.8 7
10 7 94 0 46.04 12.8 8
13 8.75 94 1 37.05 10.3 9
14 5.2 95 0 46.04 12.8 7
4 4.67 95 0 46.04 12.8 8
11 4.75 96 0 46.04 12.8 7
8 4 96 0 46.04 12.8 8
9 4.75 96 1 37.05 10.3 9
16 5 97 0 46.04 12.8 7
7 5.5 97 0 46.04 12.8 8
7 5 97 1 37.05 10.3 9
16 4.2 98 0 46.04 12.8 7
10 5 98 0 46.04 12.8 8
47 11.5 236 0 43.4 11.5 7
37 12.5 236 0 43.4 11.5 8
92 11.5 236 1 33.96 9 9
66 5.33 237 0 43.4 11.5 7
28 7 237 0 43.4 11.5 8
21 5.33 237 1 33.96 9 9
62 2.5 238 0 43.4 11.5 7
10 4 238 0 43.4 11.5 8
16 2.5 238 1 33.96 9 9
138 27.2 239 0 24.62 4.9 7
22 30 239 0 24.62 4.9 8
82 10.75 240 0 43.4 11.5 7
43 9.5 240 0 43.4 11.5 8
47 10.75 240 1 33.96 9 9
15 5.75 241 0 46.04 12.8 7
2 6 241 0 46.04 12.8 8
7 5.75 241 1 37.05 10.3 9
49 4.5 242 0 43.4 11.5 7
5 4 242 0 43.4 11.5 8
46 4.5 242 1 33.96 9 9
4 4 243 0 46.04 12.8 7
11 4 243 0 46.04 12.8 8
7 4 243 1 37.05 10.3 9
14 0.5 244 0 46.04 12.8 7
33 4.5 245 0 46.04 12.8 7
1 4.5 245 0 46.04 12.8 8
10 4.5 245 1 37.05 10.3 9
12 1 246 0 46.04 12.8 7
6 0.5 246 0 46.04 12.8 8
8 1 246 1 37.05 10.3 9
25 5.25 247 0 39.76 9.9 7
8 6 247 0 39.76 9.9 8
19 5.25 247 1 29.72 7.4 9
17 2.25 248 0 46.04 12.8 7
4 2 248 0 46.04 12.8 8
45 6.6 249 0 46.04 12.8 7
